Exchange Date,Close,%Chg,Volume
03-Jan-2012,51.163,0.008 ,3186785 
04-Jan-2012,51.530,0.008 ,3606286 
05-Jan-2012,50.597,-0.007 ,2608491 
06-Jan-2012,50.361,-0.003 ,3515135 
09-Jan-2012,50.293,-0.002 ,2995256 
10-Jan-2012,51.036,0.008 ,3044701 
11-Jan-2012,51.205,0.003 ,3458455 
12-Jan-2012,51.318,-0.001 ,4385028 
13-Jan-2012,51.344,0.003 ,2610893 
16-Jan-2012,50.749,-0.011 ,3976135 
17-Jan-2012,51.455,0.007 ,4034049 
18-Jan-2012,51.643,0.000 ,4529154 
19-Jan-2012,51.577,-0.001 ,4262018 
20-Jan-2012,51.965,0.001 ,3836539 
23-Jan-2012,52.103,-0.002 ,2655550 
24-Jan-2012,51.894,0.001 ,3767291 
25-Jan-2012,53.753,0.024 ,14329410 
27-Jan-2012,54.196,0.003 ,6815532 
30-Jan-2012,53.754,-0.002 ,4358230 
31-Jan-2012,53.480,-0.007 ,4077203 
01-Feb-2012,53.654,-0.004 ,5328236 
02-Feb-2012,53.969,0.004 ,3956139 
03-Feb-2012,54.195,-0.002 ,2737583 
06-Feb-2012,54.241,0.005 ,3491023 
07-Feb-2012,54.277,-0.006 ,4198443 
08-Feb-2012,54.002,-0.004 ,4783163 
09-Feb-2012,54.078,0.002 ,4622532 
10-Feb-2012,52.885,-0.011 ,4102707 
13-Feb-2012,53.700,0.008 ,3724561 
14-Feb-2012,53.064,-0.007 ,3974178 
15-Feb-2012,53.451,0.005 ,6688140 
16-Feb-2012,53.329,-0.008 ,7043959 
17-Feb-2012,52.915,-0.003 ,5711601 
20-Feb-2012,52.502,-0.012 ,11632260 
21-Feb-2012,52.465,0.008 ,5886262 
22-Feb-2012,52.512,0.003 ,3841923 
23-Feb-2012,52.720,-0.002 ,2841313 
24-Feb-2012,52.882,0.004 ,5533385 
27-Feb-2012,52.880,-0.005 ,3240025 
28-Feb-2012,52.683,-0.006 ,4265300 
29-Feb-2012,52.747,0.006 ,6193204 
01-Mar-2012,52.698,-0.007 ,3932546 
02-Mar-2012,52.441,0.001 ,1641220 
05-Mar-2012,52.082,-0.001 ,2563772 
06-Mar-2012,50.960,-0.010 ,5262153 
07-Mar-2012,50.162,-0.019 ,4953612 
08-Mar-2012,50.853,0.008 ,7232310 
09-Mar-2012,50.546,0.001 ,5267418 
12-Mar-2012,50.003,-0.005 ,3603506 
13-Mar-2012,50.745,0.011 ,4110701 
14-Mar-2012,50.731,0.009 ,4435797 
15-Mar-2012,51.273,0.004 ,5127400 
16-Mar-2012,51.549,-0.000 ,5498689 
19-Mar-2012,51.740,0.001 ,3433651 
20-Mar-2012,50.961,-0.003 ,3172954 
21-Mar-2012,50.563,-0.006 ,2616992 
22-Mar-2012,50.647,0.008 ,3225149 
23-Mar-2012,51.134,0.003 ,3015502 
26-Mar-2012,51.846,0.007 ,4454312 
27-Mar-2012,51.837,0.008 ,4849018 
28-Mar-2012,52.062,0.010 ,5333518 
29-Mar-2012,52.019,0.001 ,5149415 
30-Mar-2012,51.529,-0.007 ,11962257 
02-Apr-2012,51.707,-0.003 ,3308795 
03-Apr-2012,51.402,0.002 ,3236178 
04-Apr-2012,50.921,-0.003 ,3684334 
05-Apr-2012,51.288,0.003 ,3681608 
10-Apr-2012,50.963,-0.001 ,3018529 
11-Apr-2012,50.822,-0.008 ,3734650 
12-Apr-2012,51.644,0.003 ,3543749 
13-Apr-2012,51.745,0.008 ,3788139 
16-Apr-2012,51.578,-0.002 ,2257701 
17-Apr-2012,51.733,0.000 ,3078931 
18-Apr-2012,52.304,0.014 ,4789821 
19-Apr-2012,52.188,0.000 ,4289543 
20-Apr-2012,52.575,0.003 ,2645770 
23-Apr-2012,52.266,0.000 ,2474546 
24-Apr-2012,52.471,0.004 ,4287846 
26-Apr-2012,53.323,0.010 ,4603268 
27-Apr-2012,53.713,-0.001 ,9067568 
30-Apr-2012,53.876,0.007 ,3848521 
01-May-2012,54.310,0.017 ,6113327 
02-May-2012,54.140,-0.003 ,3059503 
